Team,Conference,Current coach,DOB,Month,Day,Year,Since,M_D_DOB,Sign
Colorado Buffaloes,Pac-12 Conference,Tad Boyle,01/06/63,1,06,1963,2010–11,106,Capricorn
Cal State Bakersfield Roadrunners,Western Athletic Conference,Rod Barnes,01/08/66,1,08,1966,2011–12,108,Capricorn
California Golden Bears,Pac-12 Conference,Wyking Jones,01/08/73,1,08,1973,2017–18,108,Capricorn
South Alabama Jaguars,Sun Belt Conference,Richie Riley,01/08/83,1,08,1983,2018–19,108,Capricorn
Denver Pioneers,Summit League,Rodney Billups,01/14/83,1,14,1983,2016–17,114,Capricorn
Connecticut Huskies,American Athletic Conference,Dan Hurley,01/16/73,1,16,1973,2018–19,116,Capricorn
Stephen F. Austin Lumberjacks,Southland Conference,Kyle Keller,01/16/68,1,16,1968,2016–17,116,Capricorn
Alcorn State Braves,Southwestern Athletic Conference,Montez Robinson,01/17/43,1,17,1943,2015–16,117,Capricorn
Oklahoma State Cowboys,Big 12 Conference,Mike Boynton,01/17/82,1,17,1982,2017–18,117,Capricorn
Northern Kentucky Norse,Horizon League,John Brannen,01/18/74,1,18,1974,2015–16,118,Capricorn
Alabama A&M Bulldogs,Southwestern Athletic Conference,Dylan Howard,01/19/82,1,19,1982,2018–19,119,Capricorn
Grambling State Tigers,Southwestern Athletic Conference,Donte Jackson,01/19/79,1,19,1979,2017–18,119,Capricorn
Cal State Northridge Matadors,Big West Conference,Mark Gottfried,01/20/64,1,20,1964,2018–19,120,Aquarius
Towson Tigers,Colonial Athletic Association,Pat Skerry,01/21/70,1,21,1970,2011–12,121,Aquarius
Washington State Cougars,Pac-12 Conference,Ernie Kent,01/22/55,1,22,1955,2014–15,122,Aquarius
South Carolina State Bulldogs,Mid-Eastern Athletic Conference,Murray Garvin,01/25/74,1,25,1974,2012–13,125,Aquarius
Oregon State Beavers,Pac-12 Conference,Wayne Tinkle,01/26/66,1,26,1966,2014–15,126,Aquarius
Binghamton Bearcats,America East Conference,Tommy Dempsey,01/27/74,1,27,1974,2012–13,127,Aquarius
Fordham Rams,Atlantic 10 Conference,Jeff Neubauer,01/27/71,1,27,1971,2015–16,127,Aquarius
Air Force Falcons,Mountain West Conference,Dave Pilipovich,01/28/64,1,28,1964,2012–13,128,Aquarius
UNC Greensboro Spartans,Southern Conference,Wes Miller,01/28/83,1,28,1983,2011–12,128,Aquarius
William & Mary Tribe,Colonial Athletic Association,Tony Shaver,01/28/54,1,28,1954,2003–04,128,Aquarius
East Carolina Pirates,American Athletic Conference,Joe Dooley,01/29/66,1,29,1966,2018–19[b],129,Aquarius
Michigan State Spartans,Big Ten Conference,Tom Izzo,01/30/55,1,30,1955,1995–96,130,Aquarius
Evansville Purple Aces,Missouri Valley Conference,Walter McCarty,02/01/74,2,01,1974,2018–19,201,Aquarius
Texas A&M Aggies,Southeastern Conference,Billy Kennedy,02/02/64,2,02,1964,2011–12,202,Aquarius
UTSA Roadrunners,Conference USA,Steve Henson,02/02/68,2,02,1968,2016–17,202,Aquarius
Gardner–Webb Runnin' Bulldogs,Big South Conference,Tim Craft,02/03/77,2,03,1977,2013–14,203,Aquarius
Maine Black Bears,America East Conference,Richard Barron,02/03/69,2,03,1969,2018–19,203,Aquarius
