 


  
  

NCAA Men's Basketball
Division IBlocked Shots Per Game
Through Games 03/08/2019


"Rank","Name","GM","W-L","BLKS","BKPG"
"1","Duke","30","26-4","209","7.0"
"2","Washington","30","24-6","179","6.0"
"3","Gonzaga","31","29-2","174","5.6"
"4","Saint Peter's","32","10-22","177","5.5"
"5","Michigan St.","30","24-6","165","5.5"
"","Tennessee","30","27-3","165","5.5"
"7","Oregon St.","29","17-12","158","5.4"
"8","Georgia Tech","31","14-17","161","5.2"
"9","Jacksonville","32","12-20","166","5.2"
"10","Mississippi St.","30","21-9","152","5.1"
"","Kentucky","30","25-5","152","5.1"
"12","North Florida","33","16-17","165","5.0"
"","Western Ky.","31","18-13","155","5.0"
"14","Auburn","30","21-9","148","4.9"
"15","Arkansas","30","16-14","147","4.9"
"16","LIU Brooklyn","31","16-15","151","4.9"
"17","Texas Tech","30","25-5","146","4.9"
"18","Syracuse","30","19-11","145","4.8"
"","Duquesne","30","19-11","145","4.8"
"","Georgia","30","11-19","145","4.8"
"","Alabama","30","17-13","145","4.8"
"22","Baylor","30","19-11","144","4.8"
"23","Maryland","31","22-9","147","4.7"
"24","Texas A&M","29","13-16","137","4.7"
"25","Marshall","30","17-13","141","4.7"
"","William & Mary","30","14-16","141","4.7"
"27","Toledo","31","25-6","144","4.6"
"28","Georgia St.","30","21-9","139","4.6"
"","Murray St.","30","26-4","139","4.6"
"30","Binghamton","31","9-22","143","4.6"
"31","Stanford","30","15-15","138","4.6"
"32","UCF","29","23-6","133","4.6"
"33","Purdue Fort Wayne","31","17-14","142","4.6"
"34","Notre Dame","30","13-17","137","4.6"
"35","Troy","29","11-18","132","4.6"
"36","Old Dominion","30","23-7","136","4.5"
"","Marquette","30","23-7","136","4.5"
"","Iowa St.","30","20-10","136","4.5"
"","South Carolina","30","15-15","136","4.5"
"","Cincinnati","30","25-5","136","4.5"
"41","CSUN","31","13-18","140","4.5"
"42","FIU","30","18-12","135","4.5"
"","Yale","26","19-7","117","4.5"
"44","Eastern Mich.","31","15-16","139","4.5"
"45","Northwestern St.","30","11-19","134","4.5"
"46","Indiana","30","16-14","133","4.4"
"","LSU","30","25-5","133","4.4"
"","St. Bonaventure","30","15-15","133","4.4"
"","UConn","30","14-16","133","4.4"
"50","Norfolk St.","31","19-12","137","4.4"
"","VCU","31","25-6","137","4.4"
"52","Grambling","30","15-15","132","4.4"
"53","Houston","30","28-2","131","4.4"
"","American","30","15-15","131","4.4"
"","Clemson","30","18-12","131","4.4"
"56","Western Ill.","29","9-20","126","4.3"
"57","Tennessee Tech","31","8-23","134","4.3"
"58","TCU","30","18-12","129","4.3"
"","Arkansas St.","30","13-17","129","4.3"
"60","UC Irvine","31","26-5","133","4.3"
"61","New Orleans","29","17-12","124","4.3"
"62","Florida St.","30","24-6","128","4.3"
"63","Utah St.","31","25-6","132","4.3"
"64","Northwestern","30","13-17","127","4.2"
"","Michigan","30","26-4","127","4.2"
"66","Stony Brook","31","24-7","131","4.2"
"67","South Alabama","30","14-16","126","4.2"
"","Wisconsin","30","21-9","126","4.2"
"","Furman","30","24-6","126","4.2"
"","Lafayette","30","10-20","126","4.2"
"","Weber St.","30","17-13","126","4.2"
"72","Nebraska","30","15-15","125","4.2"
"73","Minnesota","31","19-12","129","4.2"
"74","Sacred Heart","32","15-17","133","4.2"
"","FGCU","32","14-18","133","4.2"
"76","Morehead St.","33","13-20","137","4.2"
"77","Nicholls St.","30","13-17","124","4.1"
"78","Jacksonville St.","33","24-9","136","4.1"
"79","Seton Hall","29","17-12","119","4.1"
"80","Texas","30","16-14","123","4.1"
"","Saint Louis","30","19-11","123","4.1"
"","Purdue","30","22-8","123","4.1"
"","Oregon","30","18-12","123","4.1"
"84","Rutgers","29","14-15","118","4.1"
"","Rhode Island","29","15-14","118","4.1"
"86","UCLA","30","16-14","122","4.1"
"87","Oklahoma St.","30","11-19","121","4.0"
"","Georgetown","30","18-12","121","4.0"
"","Vanderbilt","30","9-21","121","4.0"
"90","Southern Ill.","32","17-15","129","4.0"
"","St. Francis Brooklyn","32","17-15","129","4.0"
"92","Portland St.","30","15-15","120","4.0"
"","Vermont","30","24-6","120","4.0"
"94","Missouri St.","32","16-16","127","4.0"
"","Niagara","32","13-19","127","4.0"
"","Green Bay","32","17-15","127","4.0"
"97","Howard","31","16-15","123","4.0"
"98","Nevada","30","27-3","119","4.0"
"99","SMU","29","13-16","115","4.0"
"100","Harvard","26","16-10","103","4.0"
"101","Samford","32","17-15","126","3.9"
"102","UNC Greensboro","31","26-5","122","3.9"
"","Buffalo","31","28-3","122","3.9"
"104","Northern Ky.","32","24-8","125","3.9"
"","Drake","32","24-8","125","3.9"
"106","Florida","30","17-13","117","3.9"
"107","Virginia","29","27-2","113","3.9"
"108","UIC","32","16-16","124","3.9"
"109","ETSU","31","23-8","120","3.9"
"110","Ga. Southern","30","20-10","116","3.9"
"","Louisiana","30","18-12","116","3.9"
"","Providence","30","16-14","116","3.9"
"","Penn St.","30","13-17","116","3.9"
"114","Brown","29","19-10","112","3.9"
"115","Holy Cross","33","16-17","127","3.8"
"116","Portland","32","7-25","123","3.8"
"117","Pittsburgh","30","12-18","115","3.8"
"","Belmont","30","26-4","115","3.8"
"119","Ohio","30","14-16","114","3.8"
"","Central Ark.","30","12-18","114","3.8"
"121","Memphis","30","18-12","113","3.8"
"","NC State","30","20-10","113","3.8"
"","Jackson St.","30","12-18","113","3.8"
"","Xavier","30","16-14","113","3.8"
"125","UNLV","29","16-13","109","3.8"
"","SFA","29","14-15","109","3.8"
"127","Eastern Ill.","32","14-18","120","3.8"
"128","Kansas","30","22-8","110","3.7"
"","The Citadel","30","12-18","110","3.7"
"130","New Mexico","29","13-16","106","3.7"
"131","Ball St.","31","15-16","113","3.6"
"132","Seattle U","30","17-13","109","3.6"
"133","Bradley","32","18-14","116","3.6"
"134","East Carolina","29","10-19","105","3.6"
"135","Louisiana Tech","31","19-12","112","3.6"
"136","Wagner","30","13-17","108","3.6"
"","Bethune-Cookman","30","14-16","108","3.6"
"","West Virginia","30","12-18","108","3.6"
"139","Youngstown St.","32","12-20","115","3.6"
"140","Kent St.","31","22-9","111","3.6"
"","Florida A&M","31","12-19","111","3.6"
"","Bucknell","31","20-11","111","3.6"
"","Santa Clara","31","16-15","111","3.6"
"144","Central Conn. St.","31","11-20","110","3.5"
"","Hampton","31","15-16","110","3.5"
"","Fairleigh Dickinson","31","18-13","110","3.5"
"147","Colgate","32","22-10","112","3.5"
"","Ole Miss","30","19-11","105","3.5"
"","North Carolina","30","25-5","105","3.5"
"150","Tulane","29","4-25","101","3.5"
"151","Charlotte","28","7-21","97","3.5"
"152","Mt. St. Mary's","31","9-22","107","3.5"
"153","Dartmouth","29","11-18","100","3.4"
"154","San Diego St.","30","19-11","103","3.4"
"155","Oral Roberts","31","11-20","106","3.4"
"156","Cornell","29","14-15","99","3.4"
"","Alcorn","29","10-19","99","3.4"
"","Fresno St.","29","21-8","99","3.4"
"","Southern Utah","29","14-15","99","3.4"
"","Wichita St.","29","16-13","99","3.4"
"161","Alabama St.","28","11-17","95","3.4"
"162","Cal St. Fullerton","29","14-15","98","3.4"
"","Southern Miss.","29","18-11","98","3.4"
"164","Rice","30","13-17","101","3.4"
"","Southern California","30","15-15","101","3.4"
"","San Francisco","30","21-9","101","3.4"
"167","Cal Poly","28","6-22","94","3.4"
"168","Austin Peay","33","22-11","110","3.3"
"","Iowa","30","21-9","100","3.3"
"","Ark.-Pine Bluff","30","12-18","100","3.3"
"171","Canisius","31","15-16","103","3.3"
"172","Kennesaw St.","32","6-26","106","3.3"
"","Charleston So.","32","17-15","106","3.3"
"174","UC Santa Barbara","29","20-9","96","3.3"
"175","Rider","30","16-14","99","3.3"
"176","Saint Joseph's","31","13-18","102","3.3"
"","Hofstra","31","25-6","102","3.3"
"","Coppin St.","31","7-24","102","3.3"
"","BYU","31","19-12","102","3.3"
"180","Sacramento St.","28","14-14","92","3.3"
"181","N.C. A&T","29","17-12","95","3.3"
"182","Oklahoma","30","19-11","98","3.3"
"","South Fla.","30","19-11","98","3.3"
"","St. John's (NY)","30","20-10","98","3.3"
"185","Eastern Ky.","31","13-18","101","3.3"
"","Central Mich.","31","21-10","101","3.3"
"187","Boston College","29","14-15","94","3.2"
"188","Fordham","30","12-18","97","3.2"
"","Miami (FL)","30","13-17","97","3.2"
"190","James Madison","31","13-18","100","3.2"
"191","Campbell","32","20-12","103","3.2"
"","IUPUI","32","16-16","103","3.2"
"193","Illinois St.","33","17-16","106","3.2"
"194","CSU Bakersfield","29","16-13","92","3.2"
"195","Cleveland St.","31","10-21","97","3.1"
"196","Long Beach St.","32","14-18","100","3.1"
"197","Arizona St.","29","20-9","90","3.1"
"198","McNeese","30","9-21","93","3.1"
"","California","30","8-22","93","3.1"
"200","Akron","31","16-15","96","3.1"
"201","La Salle","29","9-20","89","3.1"
"","Colorado","29","18-11","89","3.1"
